em_no,fl_no,date,cls
B0022,FB472,1,C
B0050,FB472,1,F
B0022,FB51,2,C
B0050,FB51,2,F
B0022,FB54,2,C
B0050,FB54,2,F
B0022,FB91,2,C
B0050,FB91,2,F
B0022,FB92,2,C
B0050,FB92,2,F
B0022,FB13,3,C
B0050,FB13,3,F
B0022,FB18,3,C
B0050,FB18,3,F
B0022,FB61,3,C
B0050,FB61,3,F
B0022,FB1182,3,C
B0050,FB1182,3,F
B0022,FB320,3,C
B0050,FB320,3,F
B0022,FB13,4,C
B0050,FB13,4,F
B0022,FB1145,4,C
B0050,FB1145,4,F
B0022,FB742,4,C
B0050,FB742,4,F
B0022,FB455,4,C
B0050,FB455,4,F
B0022,FB454,5,C
B0050,FB454,5,F
B0022,FB589,5,C
B0050,FB589,5,F
B0022,FB592,5,C
B0050,FB592,5,F
B0022,FB265,5,C
B0050,FB265,5,F
B0022,FB270,5,C
B0050,FB270,5,F
B0022,FB243,6,C
B0050,FB243,6,F
B0022,FB250,6,C
B0050,FB250,6,F
B0022,FB625,6,C
B0050,FB625,6,F
B0022,FB628,6,C
B0050,FB628,6,F
B0022,FB13,7,C
B0050,FB13,7,F
B0022,FB1145,7,C
B0050,FB1145,7,F
B0022,FB742,7,C
B0050,FB742,7,F
B0022,FB567,7,C
B0050,FB567,7,F
B0022,FB562,8,C
B0050,FB562,8,F
B0022,FB383,8,C
B0050,FB383,8,F
B0022,FB386,8,C
B0050,FB386,8,F
B0022,FB475,8,C
B0050,FB475,8,F
B0022,FB8558,9,C
B0050,FB8558,9,F
B0022,FB531,9,C
B0050,FB531,9,F
B0022,FB534,9,C
B0050,FB534,9,F
B0022,FB91,9,C
B0050,FB91,9,F
B0022,FB90,10,C
B0050,FB90,10,F
B0022,FB397,10,C
B0050,FB397,10,F
B0022,FB400,10,C
B0050,FB400,10,F
B0022,FB687,10,C
B0050,FB687,10,F
B0022,FB1271,11,C
B0050,FB1271,11,F
B0022,FB1693,11,C
B0050,FB1693,11,F
B0022,FB1872,11,C
B0050,FB1872,11,F
B0022,FB786,11,C
B0050,FB786,11,F
B0022,FB94,12,C
B0050,FB94,12,F
B0022,FB747,12,C
B0050,FB747,12,F
B0022,FB748,12,C
B0050,FB748,12,F
B0022,FB589,12,C
B0050,FB589,12,F
B0022,FB592,12,C
B0050,FB592,12,F
B0022,FB73,12,C
B0050,FB73,12,F
B0022,FB50,13,C
B0050,FB50,13,F
B0022,FB981,13,C
B0050,FB981,13,F
B0022,FB456,13,C
B0050,FB456,13,F
B0022,FB13,14,C
B0050,FB13,14,F
B0022,FB1145,14,C
B0050,FB1145,14,F
B0022,FB742,14,C
B0050,FB742,14,F
B0022,FB455,14,C
B0050,FB455,14,F
B0022,FB454,15,C
B0050,FB454,15,F
B0022,FB589,15,C
B0050,FB589,15,F
B0022,FB592,15,C
B0050,FB592,15,F
B0022,FB73,15,C
B0050,FB73,15,F
B0022,FB78,15,C
B0050,FB78,15,F
B0022,FB561,16,C
B0050,FB561,16,F
B0022,FB564,16,C
B0050,FB564,16,F
B0022,FB1893,16,C
B0050,FB1893,16,F
B0022,FB1894,16,C
B0050,FB1894,16,F
B0022,FB477,16,C
B0050,FB477,16,F
B0022,FB8560,17,C
B0050,FB8560,17,F
B0022,FB1795,17,C
B0050,FB1795,17,F
B0022,FB1796,17,C
B0050,FB1796,17,F
B0022,FB94,18,C
B0050,FB94,18,F
B0022,FB747,18,C
B0050,FB747,18,F
B0022,FB748,18,C
B0050,FB748,18,F
B0022,FB589,18,C
B0050,FB589,18,F
B0022,FB592,18,C
B0050,FB592,18,F
B0022,FB73,18,C
B0050,FB73,18,F
B0022,FB50,19,C
B0050,FB50,19,F
B0022,FB981,19,C
B0050,FB981,19,F
B0022,FB456,19,C
B0050,FB456,19,F
B0022,FB657,19,C
B0050,FB657,19,F
B0022,FB652,20,C
B0050,FB652,20,F
B0022,FB675,20,C
B0050,FB675,20,F
B0022,FB1861,20,C
B0050,FB1861,20,F
B0022,FB766,20,C
B0050,FB766,20,F
B0022,FB986,21,C
B0050,FB986,21,F
B0022,FB787,21,C
B0050,FB787,21,F
B0022,FB788,21,C
B0050,FB788,21,F
B0022,FB65,21,C
B0050,FB65,21,F
B0022,FB68,21,C
B0050,FB68,21,F
B0022,FB85,21,C
B0050,FB85,21,F
B0022,FB492,22,C
B0050,FB492,22,F
B0022,FB383,22,C
B0050,FB383,22,F
B0022,FB386,22,C
B0050,FB386,22,F
B0022,FB475,22,C
B0050,FB475,22,F
B0022,FB8558,23,C
B0050,FB8558,23,F
B0022,FB531,23,C
B0050,FB531,23,F
B0022,FB534,23,C
B0050,FB534,23,F
B0022,FB623,23,C
B0050,FB623,23,F
B0022,FB626,23,C
B0050,FB626,23,F
B0022,FB13,24,C
B0050,FB13,24,F
B0022,FB18,24,C
B0050,FB18,24,F
B0022,FB61,24,C
B0050,FB61,24,F
B0022,FB64,24,C
B0050,FB64,24,F
B0022,FB261,24,C
B0050,FB261,24,F
B0022,FB240,25,C
B0050,FB240,25,F
B0022,FB675,25,C
B0050,FB675,25,F
B0022,FB1861,25,C
B0050,FB1861,25,F
B0022,FB766,25,C
B0050,FB766,25,F
B0022,FB986,26,C
B0050,FB986,26,F
B0022,FB747,26,C
B0050,FB747,26,F
B0022,FB748,26,C
B0050,FB748,26,F
B0022,FB589,26,C
B0050,FB589,26,F
B0022,FB592,26,C
B0050,FB592,26,F
B0022,FB265,26,C
B0050,FB265,26,F
B0022,FB240,27,C
B0050,FB240,27,F
B0022,FB675,27,C
B0050,FB675,27,F
B0022,FB1861,27,C
B0050,FB1861,27,F
B0022,FB766,27,C
B0050,FB766,27,F
B0022,FB94,28,C
B0050,FB94,28,F
B0022,FB281,28,C
B0050,FB281,28,F
B0022,FB282,28,C
B0050,FB282,28,F
B0022,FB473,28,C
B0050,FB473,28,F
B0022,FB472,28,C
B0050,FB472,28,F
B0022,FB13,29,C
B0050,FB13,29,F
B0022,FB18,29,C
B0050,FB18,29,F
B0022,FB663,29,C
B0050,FB663,29,F
B0022,FB666,29,C
B0050,FB666,29,F
B0022,FB789,29,C
B0050,FB789,29,F
B0022,FB788,30,C
B0050,FB788,30,F
B0022,FB473,30,C
B0050,FB473,30,F
B0022,FB472,30,C
B0050,FB472,30,F
B0022,FB687,30,C
B0050,FB687,30,F
B0022,FB1271,31,C
B0050,FB1271,31,F
B0022,FB1693,31,C
B0050,FB1693,31,F
B0022,FB1868,31,C
B0050,FB1868,31,F
B0022,FB526,31,C
B0050,FB526,31,F
B0023,FB986,1,C
B0051,FB986,1,F
B0023,FB747,1,C
B0051,FB747,1,F
B0023,FB748,1,C
B0051,FB748,1,F
B0023,FB589,1,C
B0051,FB589,1,F
B0023,FB592,1,C
B0051,FB592,1,F
B0023,FB265,1,C
B0051,FB265,1,F
B0023,FB240,2,C
B0051,FB240,2,F
B0023,FB675,2,C
B0051,FB675,2,F
B0023,FB1861,2,C
B0051,FB1861,2,F
B0023,FB766,2,C
B0051,FB766,2,F
B0023,FB94,3,C
B0051,FB94,3,F
B0023,FB281,3,C
B0051,FB281,3,F
B0023,FB282,3,C
B0051,FB282,3,F
B0023,FB473,3,C
B0051,FB473,3,F
B0023,FB472,3,C
B0051,FB472,3,F
B0023,FB583,4,C
B0051,FB583,4,F
B0023,FB584,4,C
B0051,FB584,4,F
B0023,FB623,4,C
B0051,FB623,4,F
B0023,FB626,4,C
B0051,FB626,4,F
B0023,FB73,4,C
B0051,FB73,4,F
B0023,FB50,5,C
B0051,FB50,5,F
B0023,FB247,5,C
B0051,FB247,5,F
B0023,FB252,5,C
B0051,FB252,5,F
B0023,FB645,5,C
B0051,FB645,5,F
B0023,FB648,5,C
B0051,FB648,5,F
B0023,FB93,6,C
B0051,FB93,6,F
B0023,FB1795,6,C
B0051,FB1795,6,F
B0023,FB1796,6,C
B0051,FB1796,6,F
B0023,FB986,7,C
B0051,FB986,7,F
B0023,FB621,7,C
B0051,FB621,7,F
B0023,FB624,7,C
B0051,FB624,7,F
B0023,FB625,7,C
B0051,FB625,7,F
B0023,FB628,7,C
B0051,FB628,7,F
B0023,FB93,8,C
B0051,FB93,8,F
B0023,FB523,8,C
B0051,FB523,8,F
B0023,FB1867,8,C
B0051,FB1867,8,F
B0023,FB766,8,C
B0051,FB766,8,F
B0023,FB986,9,C
B0051,FB986,9,F
B0023,FB747,9,C
B0051,FB747,9,F
B0023,FB748,9,C
B0051,FB748,9,F
B0023,FB589,9,C
B0051,FB589,9,F
B0023,FB592,9,C
B0051,FB592,9,F
B0023,FB73,9,C
B0051,FB73,9,F
B0023,FB50,10,C
B0051,FB50,10,F
B0023,FB247,10,C
B0051,FB247,10,F
B0023,FB252,10,C
B0051,FB252,10,F
B0023,FB645,10,C
B0051,FB645,10,F
B0023,FB648,10,C
B0051,FB648,10,F
B0023,FB671,11,C
B0051,FB671,11,F
B0023,FB674,11,C
B0051,FB674,11,F
B0023,FB395,11,C
B0051,FB395,11,F
B0023,FB398,11,C
B0051,FB398,11,F
B0023,FB385,11,C
B0051,FB385,11,F
B0023,FB388,11,C
B0051,FB388,11,F
B0023,FB671,12,C
B0051,FB671,12,F
B0023,FB674,12,C
B0051,FB674,12,F
B0023,FB395,12,C
B0051,FB395,12,F
B0023,FB398,12,C
B0051,FB398,12,F
B0023,FB385,12,C
B0051,FB385,12,F
B0023,FB388,12,C
B0051,FB388,12,F
B0023,FB51,13,C
B0051,FB51,13,F
B0023,FB54,13,C
B0051,FB54,13,F
B0023,FB91,13,C
B0051,FB91,13,F
B0023,FB92,13,C
B0051,FB92,13,F
B0023,FB651,14,C
B0051,FB651,14,F
B0023,FB654,14,C
B0051,FB654,14,F
B0023,FB741,14,C
B0051,FB741,14,F
B0023,FB4876,14,C
B0051,FB4876,14,F
B0023,FB50,15,C
B0051,FB50,15,F
B0023,FB247,15,C
B0051,FB247,15,F
B0023,FB252,15,C
B0051,FB252,15,F
B0023,FB645,15,C
B0051,FB645,15,F
B0023,FB648,15,C
B0051,FB648,15,F
B0023,FB583,16,C
B0051,FB583,16,F
B0023,FB584,16,C
B0051,FB584,16,F
B0023,FB471,16,C
B0051,FB471,16,F
B0023,FB470,16,C
B0051,FB470,16,F
B0023,FB13,17,C
B0051,FB13,17,F
B0023,FB1145,17,C
B0051,FB1145,17,F
B0023,FB742,17,C
B0051,FB742,17,F
B0023,FB455,17,C
B0051,FB455,17,F
B0023,FB454,18,C
B0051,FB454,18,F
B0023,FB555,18,C
B0051,FB555,18,F
B0023,FB556,18,C
B0051,FB556,18,F
B0023,FB297,18,C
B0051,FB297,18,F
B0023,FB298,18,C
B0051,FB298,18,F
B0023,FB671,19,C
B0051,FB671,19,F
B0023,FB674,19,C
B0051,FB674,19,F
B0023,FB395,19,C
B0051,FB395,19,F
B0023,FB398,19,C
B0051,FB398,19,F
B0023,FB645,19,C
B0051,FB645,19,F
B0023,FB522,20,C
B0051,FB522,20,F
B0023,FB735,20,C
B0051,FB735,20,F
B0023,FB1863,20,C
B0051,FB1863,20,F
B0023,FB1862,20,C
B0051,FB1862,20,F
B0023,FB684,20,C
B0051,FB684,20,F
B0023,FB671,21,C
B0051,FB671,21,F
B0023,FB674,21,C
B0051,FB674,21,F
B0023,FB395,21,C
B0051,FB395,21,F
B0023,FB398,21,C
B0051,FB398,21,F
B0023,FB645,21,C
B0051,FB645,21,F
B0023,FB522,22,C
B0051,FB522,22,F
B0023,FB735,22,C
B0051,FB735,22,F
B0023,FB1863,22,C
B0051,FB1863,22,F
B0023,FB1862,22,C
B0051,FB1862,22,F
B0023,FB684,22,C
B0051,FB684,22,F
B0023,FB51,23,C
B0051,FB51,23,F
B0023,FB54,23,C
B0051,FB54,23,F
B0023,FB91,23,C
B0051,FB91,23,F
B0023,FB92,23,C
B0051,FB92,23,F
B0023,FB583,24,C
B0051,FB583,24,F
B0023,FB584,24,C
B0051,FB584,24,F
B0023,FB623,24,C
B0051,FB623,24,F
B0023,FB626,24,C
B0051,FB626,24,F
B0023,FB265,24,C
B0051,FB265,24,F
B0023,FB432,25,C
B0051,FB432,25,F
B0023,FB703,25,C
B0051,FB703,25,F
B0023,FB706,25,C
B0051,FB706,25,F
B0023,FB492,26,C
B0051,FB492,26,F
B0023,FB383,26,C
B0051,FB383,26,F
B0023,FB386,26,C
B0051,FB386,26,F
B0023,FB475,26,C
B0051,FB475,26,F
B0023,FB8558,27,C
B0051,FB8558,27,F
B0023,FB531,27,C
B0051,FB531,27,F
B0023,FB534,27,C
B0051,FB534,27,F
B0023,FB623,27,C
B0051,FB623,27,F
B0023,FB626,27,C
B0051,FB626,27,F
B0023,FB583,28,C
B0051,FB583,28,F
B0023,FB584,28,C
B0051,FB584,28,F
B0023,FB623,28,C
B0051,FB623,28,F
B0023,FB626,28,C
B0051,FB626,28,F
B0023,FB35,28,C
B0051,FB35,28,F
B0023,FB412,29,C
B0051,FB412,29,F
B0023,FB17,29,C
B0051,FB17,29,F
B0023,FB94,30,C
B0051,FB94,30,F
B0023,FB281,30,C
B0051,FB281,30,F
B0023,FB282,30,C
B0051,FB282,30,F
B0023,FB25,30,C
B0051,FB25,30,F
B0023,FB1731,31,C
B0051,FB1731,31,F
B0023,FB1734,31,C
B0051,FB1734,31,F
B0024,FB412,1,C
B0052,FB412,1,F
B0024,FB245,1,C
B0052,FB245,1,F
B0024,FB289,1,C
B0052,FB289,1,F
B0024,FB68,1,C
B0052,FB68,1,F
B0024,FB85,1,C
B0052,FB85,1,F
B0024,FB492,2,C
B0052,FB492,2,F
B0024,FB383,2,C
B0052,FB383,2,F
B0024,FB386,2,C
B0052,FB386,2,F
B0024,FB475,2,C
B0052,FB475,2,F
B0024,FB8560,3,C
B0052,FB8560,3,F
B0024,FB1795,3,C
B0052,FB1795,3,F
B0024,FB1796,3,C
B0052,FB1796,3,F
B0024,FB94,4,C
B0052,FB94,4,F
B0024,FB281,4,C
B0052,FB281,4,F
B0024,FB282,4,C
B0052,FB282,4,F
B0024,FB473,4,C
B0052,FB473,4,F
B0024,FB472,4,C
B0052,FB472,4,F
B0024,FB13,5,C
B0052,FB13,5,F
B0024,FB18,5,C
B0052,FB18,5,F
B0024,FB21,5,C
B0052,FB21,5,F
B0024,FB8559,6,C
B0052,FB8559,6,F
B0024,FB1000,6,C
B0052,FB1000,6,F
B0024,FB583,6,C
B0052,FB583,6,F
B0024,FB584,6,C
B0052,FB584,6,F
B0024,FB583,7,C
B0052,FB583,7,F
B0024,FB584,7,C
B0052,FB584,7,F
B0024,FB91,7,C
B0052,FB91,7,F
B0024,FB92,7,C
B0052,FB92,7,F
B0024,FB583,8,C
B0052,FB583,8,F
B0024,FB584,8,C
B0052,FB584,8,F
B0024,FB623,8,C
B0052,FB623,8,F
B0024,FB626,8,C
B0052,FB626,8,F
B0024,FB265,8,C
B0052,FB265,8,F
B0024,FB240,9,C
B0052,FB240,9,F
B0024,FB675,9,C
B0052,FB675,9,F
B0024,FB1861,9,C
B0052,FB1861,9,F
B0024,FB766,9,C
B0052,FB766,9,F
B0024,FB94,10,C
B0052,FB94,10,F
B0024,FB747,10,C
B0052,FB747,10,F
B0024,FB748,10,C
B0052,FB748,10,F
B0024,FB589,10,C
B0052,FB589,10,F
B0024,FB592,10,C
B0052,FB592,10,F
B0024,FB35,10,C
B0052,FB35,10,F
B0024,FB412,11,C
B0052,FB412,11,F
B0024,FB55,11,C
B0052,FB55,11,F
B0024,FB774,11,C
B0052,FB774,11,F
B0024,FB986,12,C
B0052,FB986,12,F
B0024,FB621,12,C
B0052,FB621,12,F
B0024,FB624,12,C
B0052,FB624,12,F
B0024,FB625,12,C
B0052,FB625,12,F
B0024,FB628,12,C
B0052,FB628,12,F
B0024,FB651,13,C
B0052,FB651,13,F
B0024,FB654,13,C
B0052,FB654,13,F
B0024,FB741,13,C
B0052,FB741,13,F
B0024,FB742,13,C
B0052,FB742,13,F
B0024,FB455,13,C
B0052,FB455,13,F
B0024,FB454,14,C
B0052,FB454,14,F
B0024,FB589,14,C
B0052,FB589,14,F
B0024,FB592,14,C
B0052,FB592,14,F
B0024,FB73,14,C
B0052,FB73,14,F
B0024,FB78,14,C
B0052,FB78,14,F
B0024,FB561,15,C
B0052,FB561,15,F
B0024,FB564,15,C
B0052,FB564,15,F
B0024,FB377,15,C
B0052,FB377,15,F
B0024,FB378,15,C
B0052,FB378,15,F
B0024,FB493,15,C
B0052,FB493,15,F
B0024,FB492,16,C
B0052,FB492,16,F
B0024,FB383,16,C
B0052,FB383,16,F
B0024,FB386,16,C
B0052,FB386,16,F
B0024,FB475,16,C
B0052,FB475,16,F
B0024,FB8558,17,C
B0052,FB8558,17,F
B0024,FB531,17,C
B0052,FB531,17,F
B0024,FB534,17,C
B0052,FB534,17,F
B0024,FB91,17,C
B0052,FB91,17,F
B0024,FB90,18,C
B0052,FB90,18,F
B0024,FB397,18,C
B0052,FB397,18,F
B0024,FB400,18,C
B0052,FB400,18,F
B0024,FB687,18,C
B0052,FB687,18,F
B0024,FB1271,19,C
B0052,FB1271,19,F
B0024,FB1693,19,C
B0052,FB1693,19,F
B0024,FB1868,19,C
B0052,FB1868,19,F
B0024,FB526,19,C
B0052,FB526,19,F
B0024,FB94,20,C
B0052,FB94,20,F
B0024,FB281,20,C
B0052,FB281,20,F
B0024,FB282,20,C
B0052,FB282,20,F
B0024,FB25,20,C
B0052,FB25,20,F
B0024,FB412,21,C
B0052,FB412,21,F
B0024,FB17,21,C
B0052,FB17,21,F
B0024,FB8559,22,C
B0052,FB8559,22,F
B0024,FB1000,22,C
B0052,FB1000,22,F
B0024,FB451,22,C
B0052,FB451,22,F
B0024,FB454,22,C
B0052,FB454,22,F
B0024,FB451,23,C
B0052,FB451,23,F
B0024,FB454,23,C
B0052,FB454,23,F
B0024,FB589,23,C
B0052,FB589,23,F
B0024,FB592,23,C
B0052,FB592,23,F
B0024,FB265,23,C
B0052,FB265,23,F
B0024,FB240,24,C
B0052,FB240,24,F
B0024,FB675,24,C
B0052,FB675,24,F
B0024,FB1861,24,C
B0052,FB1861,24,F
B0024,FB1864,24,C
B0052,FB1864,24,F
B0024,FB738,24,C
B0052,FB738,24,F
B0024,FB412,25,C
B0052,FB412,25,F
B0024,FB245,25,C
B0052,FB245,25,F
B0024,FB289,25,C
B0052,FB289,25,F
B0024,FB4875,25,C
B0052,FB4875,25,F
B0024,FB4876,26,C
B0052,FB4876,26,F
B0024,FB76,26,C
B0052,FB76,26,F
B0024,FB8563,26,C
B0052,FB8563,26,F
B0024,FB8567,28,C
B0052,FB8567,28,F
B0024,FB8558,28,C
B0052,FB8558,28,F
B0024,FB243,28,C
B0052,FB243,28,F
B0024,FB432,29,C
B0052,FB432,29,F
B0024,FB703,29,C
B0052,FB703,29,F
B0024,FB706,29,C
B0052,FB706,29,F
B0024,FB492,30,C
B0052,FB492,30,F
B0024,FB383,30,C
B0052,FB383,30,F
B0024,FB386,30,C
B0052,FB386,30,F
B0024,FB475,30,C
B0052,FB475,30,F
B0024,FB8560,31,C
B0052,FB8560,31,F
B0024,FB523,31,C
B0052,FB523,31,F
B0024,FB1867,31,C
B0052,FB1867,31,F
B0024,FB766,31,C
B0052,FB766,31,F
B0025,FB541,1,C
B0053,FB541,1,F
B0025,FB544,1,C
B0053,FB544,1,F
B0025,FB8559,2,C
B0053,FB8559,2,F
B0025,FB8558,2,C
B0053,FB8558,2,F
B0025,FB531,2,C
B0053,FB531,2,F
B0025,FB534,2,C
B0053,FB534,2,F
B0025,FB651,3,C
B0053,FB651,3,F
B0025,FB654,3,C
B0053,FB654,3,F
B0025,FB563,3,C
B0053,FB563,3,F
B0025,FB566,3,C
B0053,FB566,3,F
B0025,FB797,3,C
B0053,FB797,3,F
B0025,FB792,4,C
B0053,FB792,4,F
B0025,FB247,4,C
B0053,FB247,4,F
B0025,FB252,4,C
B0053,FB252,4,F
B0025,FB645,4,C
B0053,FB645,4,F
B0025,FB648,4,C
B0053,FB648,4,F
B0025,FB451,5,C
B0053,FB451,5,F
B0025,FB982,5,C
B0053,FB982,5,F
B0025,FB385,5,C
B0053,FB385,5,F
B0025,FB388,5,C
B0053,FB388,5,F
B0025,FB451,6,C
B0053,FB451,6,F
B0025,FB454,6,C
B0053,FB454,6,F
B0025,FB589,6,C
B0053,FB589,6,F
B0025,FB592,6,C
B0053,FB592,6,F
B0025,FB265,6,C
B0053,FB265,6,F
B0025,FB240,7,C
B0053,FB240,7,F
B0025,FB995,7,C
B0053,FB995,7,F
B0025,FB996,7,C
B0053,FB996,7,F
B0025,FB71,7,C
B0053,FB71,7,F
B0025,FB50,8,C
B0053,FB50,8,F
B0025,FB981,8,C
B0053,FB981,8,F
B0025,FB454,9,C
B0053,FB454,9,F
B0025,FB555,9,C
B0053,FB555,9,F
B0025,FB556,9,C
B0053,FB556,9,F
B0025,FB297,9,C
B0053,FB297,9,F
B0025,FB298,9,C
B0053,FB298,9,F
B0025,FB651,10,C
B0053,FB651,10,F
B0025,FB654,10,C
B0053,FB654,10,F
B0025,FB563,10,C
B0053,FB563,10,F
B0025,FB566,10,C
B0053,FB566,10,F
B0025,FB477,10,C
B0053,FB477,10,F
B0025,FB1200,11,C
B0053,FB1200,11,F
B0025,FB246,11,C
B0053,FB246,11,F
B0025,FB623,11,C
B0053,FB623,11,F
B0025,FB626,11,C
B0053,FB626,11,F
B0025,FB35,11,C
B0053,FB35,11,F
B0025,FB412,12,C
B0053,FB412,12,F
B0025,FB17,12,C
B0053,FB17,12,F
B0025,FB8559,13,C
B0053,FB8559,13,F
B0025,FB1000,13,C
B0053,FB1000,13,F
B0025,FB673,13,C
B0053,FB673,13,F
B0025,FB676,13,C
B0053,FB676,13,F
B0025,FB243,14,C
B0053,FB243,14,F
B0025,FB250,14,C
B0053,FB250,14,F
B0025,FB625,14,C
B0053,FB625,14,F
B0025,FB628,14,C
B0053,FB628,14,F
B0025,FB569,14,C
B0053,FB569,14,F
B0025,FB1606,15,C
B0053,FB1606,15,F
B0025,FB1169,15,C
B0053,FB1169,15,F
B0025,FB1170,15,C
B0053,FB1170,15,F
B0025,FB94,16,C
B0053,FB94,16,F
B0025,FB621,16,C
B0053,FB621,16,F
B0025,FB624,16,C
B0053,FB624,16,F
B0025,FB625,16,C
B0053,FB625,16,F
B0025,FB628,16,C
