fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,comp
FB994,8/1/2019,9:50,SXA,8/1/2019,12:25,TGD,C1F1
FB1693,8/1/2019,10:50,NOU,8/1/2019,14:25,SXA,C1F1
FB764,8/1/2019,11:10,SXA,8/1/2019,13:10,HOM,C1F1
FB1146,8/1/2019,11:30,XBT,8/1/2019,13:30,HOM,C1F1
FB2158,8/1/2019,11:40,SXA,8/1/2019,14:25,TGD,C1F1
FB1606,8/1/2019,11:45,XNZ,8/1/2019,12:30,HOM,C1F1
FB982,8/1/2019,12:15,TUK,8/1/2019,14:00,TGD,C1F1
FB1868,8/1/2019,15:15,SXA,8/1/2019,16:50,XMJ,C1F1
FB1644,8/1/2019,15:50,MYJ,8/1/2019,16:40,HOM,C1F1
FB778,8/1/2019,16:55,NOU,8/1/2019,18:45,HOM,C1F1
FB72,8/1/2019,17:00,NOU,8/1/2019,18:35,TGD,C1F1
FB526,8/1/2019,17:30,XMJ,8/1/2019,18:35,HOM,C1F1
FB474,8/1/2019,18:05,SXA,8/1/2019,20:35,TGD,C1F1
FB552,8/1/2019,18:40,XSJ,8/1/2019,19:50,HOM,C1F1
FB1718,8/1/2019,18:45,NOU,8/1/2019,20:55,HOM,C1F1
FB270,8/1/2019,19:40,FBX,8/1/2019,21:25,TGD,C1F1
FB449,8/1/2019,20:10,GKS,8/1/2019,21:35,FBX,C1F1
FB8567,8/2/2019,0:35,XXJ,8/2/2019,2:25,SXA,C1F1
FB1200,8/2/2019,7:05,SXA,8/2/2019,8:40,FBX,C1F1
FB292,8/2/2019,7:05,OOJ,8/2/2019,8:20,TGD,C1F1
FB394,8/2/2019,7:10,UYS,8/2/2019,8:15,TGD,C1F1
FB312,8/2/2019,7:10,OSY,8/2/2019,8:15,TGD,C1F1
FB652,8/2/2019,7:10,SXJ,8/2/2019,8:25,TGD,C1F1
FB382,8/2/2019,7:20,YKJ,8/2/2019,8:40,TGD,C1F1
FB582,8/2/2019,7:25,MYJ,8/2/2019,8:55,TGD,C1F1
FB50,8/2/2019,7:30,NOU,8/2/2019,9:05,TGD,C1F1
FB402,8/2/2019,7:30,AXO,8/2/2019,8:35,TGD,C1F1
FB632,8/2/2019,7:35,HWX,8/2/2019,9:10,TGD,C1F1
FB672,8/2/2019,7:35,THJ,8/2/2019,9:00,TGD,C1F1
FB522,8/2/2019,7:35,XMJ,8/2/2019,8:40,HOM,C1F1
FB532,8/2/2019,7:35,OAX,8/2/2019,8:55,TGD,C1F1
FB562,8/2/2019,7:35,XNZ,8/2/2019,8:55,TGD,C1F1
FB792,8/2/2019,7:35,SHO,8/2/2019,9:10,TGD,C1F1
FB692,8/2/2019,7:40,BCJ,8/2/2019,9:20,TGD,C1F1
FB732,8/2/2019,7:50,UDJ,8/2/2019,9:10,HOM,C1F1
FB1702,8/2/2019,8:00,FBX,8/2/2019,9:05,HOM,C1F1
FB602,8/2/2019,8:05,XMH,8/2/2019,9:45,TGD,C1F1
FB662,8/2/2019,8:15,GKU,8/2/2019,10:05,TGD,C1F1
FB301,8/2/2019,8:40,GKS,8/2/2019,10:55,SXA,C1F1
FB1892,8/2/2019,9:00,TAN,8/2/2019,9:55,TGD,C1F1
FB22,8/2/2019,11:00,HOM,8/2/2019,12:15,TGD,C1F1
FB1146,8/2/2019,11:30,XBT,8/2/2019,13:30,HOM,C1F1
FB982,8/2/2019,12:15,TUK,8/2/2019,14:00,TGD,C1F1
FB1872,8/2/2019,15:15,SXA,8/2/2019,16:50,GKU,C1F1
FB770,8/2/2019,16:50,SXA,8/2/2019,18:55,HOM,C1F1
FB474,8/2/2019,18:05,SXA,8/2/2019,20:35,TGD,C1F1
FB387,8/2/2019,18:25,TGD,8/2/2019,19:45,YKJ,C1F1
FB495,8/2/2019,18:25,TGD,8/2/2019,19:40,GKS,C1F1
FB269,8/2/2019,19:00,TGD,8/2/2019,20:50,FBX,C1F1
FB271,8/2/2019,19:30,TGD,8/2/2019,21:20,FBX,C1F1
FB479,8/2/2019,20:00,TGD,8/2/2019,22:30,SXA,C1F1
FB659,8/2/2019,20:10,TGD,8/2/2019,21:30,SXJ,C1F1
FB415,8/2/2019,20:15,TGD,8/2/2019,21:30,HOM,C1F1
FB639,8/2/2019,20:15,TGD,8/2/2019,21:50,HWX,C1F1
FB399,8/2/2019,20:15,TGD,8/2/2019,21:15,UYS,C1F1
FB409,8/2/2019,20:20,TGD,8/2/2019,21:25,AXO,C1F1
FB97,8/2/2019,20:30,TGD,8/2/2019,21:50,HOM,C1F1
FB689,8/2/2019,20:30,TGD,8/2/2019,21:55,THJ,C1F1
FB478,8/2/2019,20:50,SXA,8/2/2019,23:15,TGD,C1F1
FB99,8/2/2019,21:00,TGD,8/2/2019,22:20,HOM,C1F1
FB8563,8/2/2019,21:00,TGD,8/2/2019,23:05,XXJ,C1F1
FB8569,8/2/2019,21:35,TGD,8/2/2019,23:05,HOM,C1F1
FB240,8/3/2019,7:00,FBX,8/3/2019,8:40,TGD,C1F1
FB382,8/3/2019,7:20,YKJ,8/3/2019,8:40,TGD,C1F1
FB582,8/3/2019,7:25,MYJ,8/3/2019,8:55,TGD,C1F1
FB50,8/3/2019,7:30,NOU,8/3/2019,9:05,TGD,C1F1
FB672,8/3/2019,7:35,THJ,8/3/2019,9:00,TGD,C1F1
FB522,8/3/2019,7:35,XMJ,8/3/2019,8:40,HOM,C1F1
FB692,8/3/2019,7:40,BCJ,8/3/2019,9:20,TGD,C1F1
FB242,8/3/2019,8:00,FBX,8/3/2019,9:45,TGD,C1F1
FB620,8/3/2019,8:00,XSJ,8/3/2019,9:45,TGD,C1F1
FB662,8/3/2019,8:15,GKU,8/3/2019,10:05,TGD,C1F1
FB1145,8/3/2019,9:00,HOM,8/3/2019,10:55,XBT,C1F1
FB434,8/3/2019,9:10,FBX,8/3/2019,10:25,GKS,C1F1
FB765,8/3/2019,11:00,HOM,8/3/2019,13:05,SXA,C1F1
FB22,8/3/2019,11:00,HOM,8/3/2019,12:15,TGD,C1F1
FB1606,8/3/2019,11:45,XNZ,8/3/2019,12:30,HOM,C1F1
FB1169,8/3/2019,13:10,HOM,8/3/2019,15:15,SXA,C1F1
FB4876,8/3/2019,17:05,XBT,8/3/2019,17:50,NOU,C1F1
FB474,8/3/2019,18:05,SXA,8/3/2019,20:35,TGD,C1F1
FB800,8/3/2019,18:05,SHO,8/3/2019,19:45,TGD,C1F1
FB1718,8/3/2019,18:45,NOU,8/3/2019,20:55,HOM,C1F1
FB699,8/3/2019,19:10,TGD,8/3/2019,20:45,BCJ,C1F1
FB669,8/3/2019,19:25,TGD,8/3/2019,21:15,GKU,C1F1
FB78,8/3/2019,19:30,NOU,8/3/2019,21:05,TGD,C1F1
FB599,8/3/2019,19:40,TGD,8/3/2019,21:05,MYJ,C1F1
FB273,8/3/2019,19:45,TGD,8/3/2019,21:40,FBX,C1F1
FB558,8/3/2019,19:45,TXD,8/3/2019,21:10,TGD,C1F1
FB321,8/3/2019,19:55,TGD,8/3/2019,20:50,OSY,C1F1
FB479,8/3/2019,20:00,TGD,8/3/2019,22:30,SXA,C1F1
FB79,8/3/2019,20:00,TGD,8/3/2019,21:35,NOU,C1F1
FB539,8/3/2019,20:00,TGD,8/3/2019,21:20,OAX,C1F1
FB389,8/3/2019,20:05,TGD,8/3/2019,21:25,YKJ,C1F1
FB659,8/3/2019,20:10,TGD,8/3/2019,21:30,SXJ,C1F1
FB449,8/3/2019,20:10,GKS,8/3/2019,21:35,FBX,C1F1
FB415,8/3/2019,20:15,TGD,8/3/2019,21:30,HOM,C1F1
FB639,8/3/2019,20:15,TGD,8/3/2019,21:50,HWX,C1F1
FB399,8/3/2019,20:15,TGD,8/3/2019,21:15,UYS,C1F1
FB409,8/3/2019,20:20,TGD,8/3/2019,21:25,AXO,C1F1
FB97,8/3/2019,20:30,TGD,8/3/2019,21:50,HOM,C1F1
FB689,8/3/2019,20:30,TGD,8/3/2019,21:55,THJ,C1F1
FB81,8/3/2019,20:40,TGD,8/3/2019,22:15,NOU,C1F1
FB478,8/3/2019,20:50,SXA,8/3/2019,23:15,TGD,C1F1
FB292,8/4/2019,7:05,OOJ,8/4/2019,8:20,TGD,C1F1
FB394,8/4/2019,7:10,UYS,8/4/2019,8:15,TGD,C1F1
FB312,8/4/2019,7:10,OSY,8/4/2019,8:15,TGD,C1F1
FB382,8/4/2019,7:20,YKJ,8/4/2019,8:40,TGD,C1F1
FB582,8/4/2019,7:25,MYJ,8/4/2019,8:55,TGD,C1F1
FB402,8/4/2019,7:30,AXO,8/4/2019,8:35,TGD,C1F1
FB632,8/4/2019,7:35,HWX,8/4/2019,9:10,TGD,C1F1
FB672,8/4/2019,7:35,THJ,8/4/2019,9:00,TGD,C1F1
FB532,8/4/2019,7:35,OAX,8/4/2019,8:55,TGD,C1F1
FB242,8/4/2019,8:00,FBX,8/4/2019,9:45,TGD,C1F1
FB1271,8/4/2019,8:00,THJ,8/4/2019,10:00,NOU,C1F1
FB602,8/4/2019,8:05,XMH,8/4/2019,9:45,TGD,C1F1
FB52,8/4/2019,8:30,NOU,8/4/2019,10:05,TGD,C1F1
FB1892,8/4/2019,9:00,TAN,8/4/2019,9:55,TGD,C1F1
FB1795,8/4/2019,9:15,HOM,8/4/2019,11:20,MMC,C1F1
FB1796,8/4/2019,12:00,MMC,8/4/2019,14:25,HOM,C1F1
FB982,8/4/2019,12:15,TUK,8/4/2019,14:00,TGD,C1F1
FB1644,8/4/2019,15:50,MYJ,8/4/2019,16:40,HOM,C1F1
FB1717,8/4/2019,16:15,HOM,8/4/2019,18:10,NOU,C1F1
FB72,8/4/2019,17:00,NOU,8/4/2019,18:35,TGD,C1F1
FB427,8/4/2019,17:20,HOM,8/4/2019,18:35,FBX,C1F1
FB1718,8/4/2019,18:45,NOU,8/4/2019,20:55,HOM,C1F1
FB1272,8/4/2019,18:50,NOU,8/4/2019,20:50,THJ,C1F1
FB269,8/4/2019,19:00,TGD,8/4/2019,20:50,FBX,C1F1
FB41,8/4/2019,19:20,TGD,8/4/2019,20:35,HOM,C1F1
FB271,8/4/2019,19:30,TGD,8/4/2019,21:20,FBX,C1F1
FB78,8/4/2019,19:30,NOU,8/4/2019,21:05,TGD,C1F1
FB598,8/4/2019,19:30,MYJ,8/4/2019,21:05,TGD,C1F1
FB599,8/4/2019,19:40,TGD,8/4/2019,21:05,MYJ,C1F1
FB273,8/4/2019,19:45,TGD,8/4/2019,21:40,FBX,C1F1
FB321,8/4/2019,19:55,TGD,8/4/2019,20:50,OSY,C1F1
FB479,8/4/2019,20:00,TGD,8/4/2019,22:30,SXA,C1F1
FB79,8/4/2019,20:00,TGD,8/4/2019,21:35,NOU,C1F1
FB539,8/4/2019,20:00,TGD,8/4/2019,21:20,OAX,C1F1
FB389,8/4/2019,20:05,TGD,8/4/2019,21:25,YKJ,C1F1
FB659,8/4/2019,20:10,TGD,8/4/2019,21:30,SXJ,C1F1
FB415,8/4/2019,20:15,TGD,8/4/2019,21:30,HOM,C1F1
FB639,8/4/2019,20:15,TGD,8/4/2019,21:50,HWX,C1F1
FB399,8/4/2019,20:15,TGD,8/4/2019,21:15,UYS,C1F1
FB409,8/4/2019,20:20,TGD,8/4/2019,21:25,AXO,C1F1
FB97,8/4/2019,20:30,TGD,8/4/2019,21:50,HOM,C1F1
FB689,8/4/2019,20:30,TGD,8/4/2019,21:55,THJ,C1F1
FB81,8/4/2019,20:40,TGD,8/4/2019,22:15,NOU,C1F1
FB240,8/5/2019,7:00,FBX,8/5/2019,8:40,TGD,C1F1
FB394,8/5/2019,7:10,UYS,8/5/2019,8:15,TGD,C1F1
FB652,8/5/2019,7:10,SXJ,8/5/2019,8:25,TGD,C1F1
FB432,8/5/2019,7:30,FBX,8/5/2019,8:45,GKS,C1F1
FB402,8/5/2019,7:30,AXO,8/5/2019,8:35,TGD,C1F1
FB632,8/5/2019,7:35,HWX,8/5/2019,9:10,TGD,C1F1
FB532,8/5/2019,7:35,OAX,8/5/2019,8:55,TGD,C1F1
FB2176,8/5/2019,7:50,HOM,8/5/2019,9:10,TGD,C1F1
FB242,8/5/2019,8:00,FBX,8/5/2019,9:45,TGD,C1F1
FB1271,8/5/2019,8:00,THJ,8/5/2019,10:00,NOU,C1F1
FB662,8/5/2019,8:15,GKU,8/5/2019,10:05,TGD,C1F1
FB52,8/5/2019,8:30,NOU,8/5/2019,10:05,TGD,C1F1
FB434,8/5/2019,9:10,FBX,8/5/2019,10:25,GKS,C1F1
FB523,8/5/2019,9:15,HOM,8/5/2019,10:25,XMJ,C1F1
FB1795,8/5/2019,9:15,HOM,8/5/2019,11:20,MMC,C1F1
FB1146,8/5/2019,11:30,XBT,8/5/2019,13:30,HOM,C1F1
FB1796,8/5/2019,12:00,MMC,8/5/2019,14:25,HOM,C1F1
FB1644,8/5/2019,15:50,MYJ,8/5/2019,16:40,HOM,C1F1
FB72,8/5/2019,17:00,NOU,8/5/2019,18:35,TGD,C1F1
FB427,8/5/2019,17:20,HOM,8/5/2019,18:35,FBX,C1F1
FB1718,8/5/2019,18:45,NOU,8/5/2019,20:55,HOM,C1F1
FB1272,8/5/2019,18:50,NOU,8/5/2019,20:50,THJ,C1F1
FB41,8/5/2019,19:20,TGD,8/5/2019,20:35,HOM,C1F1
FB273,8/5/2019,19:45,TGD,8/5/2019,21:40,FBX,C1F1
FB539,8/5/2019,20:00,TGD,8/5/2019,21:20,OAX,C1F1
FB410,8/5/2019,20:00,AXO,8/5/2019,21:10,TGD,C1F1
FB389,8/5/2019,20:05,TGD,8/5/2019,21:25,YKJ,C1F1
FB659,8/5/2019,20:10,TGD,8/5/2019,21:30,SXJ,C1F1
FB449,8/5/2019,20:10,GKS,8/5/2019,21:35,FBX,C1F1
FB415,8/5/2019,20:15,TGD,8/5/2019,21:30,HOM,C1F1
FB639,8/5/2019,20:15,TGD,8/5/2019,21:50,HWX,C1F1
FB399,8/5/2019,20:15,TGD,8/5/2019,21:15,UYS,C1F1
FB409,8/5/2019,20:20,TGD,8/5/2019,21:25,AXO,C1F1
FB97,8/5/2019,20:30,TGD,8/5/2019,21:50,HOM,C1F1
FB689,8/5/2019,20:30,TGD,8/5/2019,21:55,THJ,C1F1
FB81,8/5/2019,20:40,TGD,8/5/2019,22:15,NOU,C1F1
FB478,8/5/2019,20:50,SXA,8/5/2019,23:15,TGD,C1F1
FB99,8/5/2019,21:00,TGD,8/5/2019,22:20,HOM,C1F1
FB274,8/5/2019,21:10,FBX,8/5/2019,23:00,TGD,C1F1
FB8567,8/6/2019,0:35,XXJ,8/6/2019,2:25,SXA,C1F1
FB240,8/6/2019,7:00,FBX,8/6/2019,8:40,TGD,C1F1
FB394,8/6/2019,7:10,UYS,8/6/2019,8:15,TGD,C1F1
FB312,8/6/2019,7:10,OSY,8/6/2019,8:15,TGD,C1F1
FB382,8/6/2019,7:20,YKJ,8/6/2019,8:40,TGD,C1F1
FB582,8/6/2019,7:25,MYJ,8/6/2019,8:55,TGD,C1F1
FB632,8/6/2019,7:35,HWX,8/6/2019,9:10,TGD,C1F1
FB672,8/6/2019,7:35,THJ,8/6/2019,9:00,TGD,C1F1
FB522,8/6/2019,7:35,XMJ,8/6/2019,8:40,HOM,C1F1
FB692,8/6/2019,7:40,BCJ,8/6/2019,9:20,TGD,C1F1
FB732,8/6/2019,7:50,UDJ,8/6/2019,9:10,HOM,C1F1
FB731,8/6/2019,8:05,HOM,8/6/2019,9:20,UDJ,C1F1
FB577,8/6/2019,8:25,HOM,8/6/2019,10:20,NOU,C1F1
FB52,8/6/2019,8:30,NOU,8/6/2019,10:05,TGD,C1F1
FB1747,8/6/2019,8:40,HOM,8/6/2019,11:05,HUK,C1F1
FB771,8/6/2019,8:40,HOM,8/6/2019,10:30,NOU,C1F1
FB1145,8/6/2019,9:00,HOM,8/6/2019,10:55,XBT,C1F1
FB434,8/6/2019,9:10,FBX,8/6/2019,10:25,GKS,C1F1
FB1605,8/6/2019,10:25,HOM,8/6/2019,11:10,XNZ,C1F1
FB90,8/6/2019,12:20,HUK,8/6/2019,15:15,TGD,C1F1
FB92,8/6/2019,15:30,HUK,8/6/2019,18:25,TGD,C1F1
FB32,8/6/2019,16:00,HOM,8/6/2019,17:15,TGD,C1F1
FB1717,8/6/2019,16:15,HOM,8/6/2019,18:10,NOU,C1F1
FB72,8/6/2019,17:00,NOU,8/6/2019,18:35,TGD,C1F1
FB1718,8/6/2019,18:45,NOU,8/6/2019,20:55,HOM,C1F1
FB1272,8/6/2019,18:50,NOU,8/6/2019,20:50,THJ,C1F1
FB649,8/6/2019,18:55,TGD,8/6/2019,20:40,XMJ,C1F1
FB41,8/6/2019,19:20,TGD,8/6/2019,20:35,HOM,C1F1
FB299,8/6/2019,19:20,TGD,8/6/2019,20:35,OOJ,C1F1
FB669,8/6/2019,19:25,TGD,8/6/2019,21:15,GKU,C1F1
FB271,8/6/2019,19:30,TGD,8/6/2019,21:20,FBX,C1F1
FB78,8/6/2019,19:30,NOU,8/6/2019,21:05,TGD,C1F1
FB540,8/6/2019,19:35,OAX,8/6/2019,20:55,TGD,C1F1
FB270,8/6/2019,19:40,FBX,8/6/2019,21:25,TGD,C1F1
FB479,8/6/2019,20:00,TGD,8/6/2019,22:30,SXA,C1F1
FB539,8/6/2019,20:00,TGD,8/6/2019,21:20,OAX,C1F1
FB389,8/6/2019,20:05,TGD,8/6/2019,21:25,YKJ,C1F1
FB659,8/6/2019,20:10,TGD,8/6/2019,21:30,SXJ,C1F1
FB415,8/6/2019,20:15,TGD,8/6/2019,21:30,HOM,C1F1
FB639,8/6/2019,20:15,TGD,8/6/2019,21:50,HWX,C1F1
FB399,8/6/2019,20:15,TGD,8/6/2019,21:15,UYS,C1F1
FB409,8/6/2019,20:20,TGD,8/6/2019,21:25,AXO,C1F1
FB390,8/6/2019,20:25,YKJ,8/6/2019,21:55,TGD,C1F1
FB97,8/6/2019,20:30,TGD,8/6/2019,21:50,HOM,C1F1
FB689,8/6/2019,20:30,TGD,8/6/2019,21:55,THJ,C1F1
FB81,8/6/2019,20:40,TGD,8/6/2019,22:15,NOU,C1F1
FB8563,8/6/2019,21:00,TGD,8/6/2019,23:05,XXJ,C1F1
FB8569,8/6/2019,21:35,TGD,8/6/2019,23:05,HOM,C1F1
FB690,8/6/2019,21:35,THJ,8/6/2019,23:00,TGD,C1F1
FB8559,8/7/2019,0:05,HOM,8/7/2019,2:05,SXA,C1F1
FB1200,8/7/2019,7:05,SXA,8/7/2019,8:40,FBX,C1F1
FB394,8/7/2019,7:10,UYS,8/7/2019,8:15,TGD,C1F1
FB312,8/7/2019,7:10,OSY,8/7/2019,8:15,TGD,C1F1
FB582,8/7/2019,7:25,MYJ,8/7/2019,8:55,TGD,C1F1
FB402,8/7/2019,7:30,AXO,8/7/2019,8:35,TGD,C1F1
FB632,8/7/2019,7:35,HWX,8/7/2019,9:10,TGD,C1F1
FB672,8/7/2019,7:35,THJ,8/7/2019,9:00,TGD,C1F1
FB792,8/7/2019,7:35,SHO,8/7/2019,9:10,TGD,C1F1
FB732,8/7/2019,7:50,UDJ,8/7/2019,9:10,HOM,C1F1
FB242,8/7/2019,8:00,FBX,8/7/2019,9:45,TGD,C1F1
FB620,8/7/2019,8:00,XSJ,8/7/2019,9:45,TGD,C1F1
FB52,8/7/2019,8:30,NOU,8/7/2019,10:05,TGD,C1F1
FB1747,8/7/2019,8:40,HOM,8/7/2019,11:05,HUK,C1F1
FB18,8/7/2019,9:00,HOM,8/7/2019,10:10,TGD,C1F1
FB1795,8/7/2019,9:15,HOM,8/7/2019,11:20,MMC,C1F1
FB250,8/7/2019,11:20,FBX,8/7/2019,13:05,TGD,C1F1
FB1146,8/7/2019,11:30,XBT,8/7/2019,13:30,HOM,C1F1
FB1796,8/7/2019,12:00,MMC,8/7/2019,14:25,HOM,C1F1
FB26,8/7/2019,13:00,HOM,8/7/2019,14:15,TGD,C1F1
FB767,8/7/2019,14:00,HOM,8/7/2019,16:05,SXA,C1F1
FB2178,8/7/2019,14:10,HOM,8/7/2019,15:30,TGD,C1F1
FB505,8/7/2019,14:10,HOM,8/7/2019,15:15,XMH,C1F1
FB508,8/7/2019,15:50,XMH,8/7/2019,16:55,HOM,C1F1
FB32,8/7/2019,16:00,HOM,8/7/2019,17:15,TGD,C1F1
FB1717,8/7/2019,16:15,HOM,8/7/2019,18:10,NOU,C1F1
FB770,8/7/2019,16:50,SXA,8/7/2019,18:55,HOM,C1F1
FB36,8/7/2019,18:00,HOM,8/7/2019,19:15,TGD,C1F1
FB474,8/7/2019,18:05,SXA,8/7/2019,20:35,TGD,C1F1
FB380,8/7/2019,18:35,NOU,8/7/2019,20:30,SXJ,C1F1
FB1718,8/7/2019,18:45,NOU,8/7/2019,20:55,HOM,C1F1
FB1272,8/7/2019,18:50,NOU,8/7/2019,20:50,THJ,C1F1
FB269,8/7/2019,19:00,TGD,8/7/2019,20:50,FBX,C1F1
FB476,8/7/2019,19:10,SXA,8/7/2019,21:40,TGD,C1F1
FB1650,8/7/2019,19:15,MYJ,8/7/2019,20:15,HOM,C1F1
FB299,8/7/2019,19:20,TGD,8/7/2019,20:35,OOJ,C1F1
FB799,8/7/2019,19:20,TGD,8/7/2019,20:55,SHO,C1F1
FB669,8/7/2019,19:25,TGD,8/7/2019,21:15,GKU,C1F1
FB271,8/7/2019,19:30,TGD,8/7/2019,21:20,FBX,C1F1
FB640,8/7/2019,19:35,HWX,8/7/2019,21:15,TGD,C1F1
FB599,8/7/2019,19:40,TGD,8/7/2019,21:05,MYJ,C1F1
FB273,8/7/2019,19:45,TGD,8/7/2019,21:40,FBX,C1F1
FB321,8/7/2019,19:55,TGD,8/7/2019,20:50,OSY,C1F1
FB479,8/7/2019,20:00,TGD,8/7/2019,22:30,SXA,C1F1
FB79,8/7/2019,20:00,TGD,8/7/2019,21:35,NOU,C1F1
FB539,8/7/2019,20:00,TGD,8/7/2019,21:20,OAX,C1F1
FB389,8/7/2019,20:05,TGD,8/7/2019,21:25,YKJ,C1F1
FB659,8/7/2019,20:10,TGD,8/7/2019,21:30,SXJ,C1F1
FB415,8/7/2019,20:15,TGD,8/7/2019,21:30,HOM,C1F1
FB639,8/7/2019,20:15,TGD,8/7/2019,21:50,HWX,C1F1
FB409,8/7/2019,20:20,TGD,8/7/2019,21:25,AXO,C1F1
FB97,8/7/2019,20:30,TGD,8/7/2019,21:50,HOM,C1F1
FB689,8/7/2019,20:30,TGD,8/7/2019,21:55,THJ,C1F1
FB81,8/7/2019,20:40,TGD,8/7/2019,22:15,NOU,C1F1
FB99,8/7/2019,21:00,TGD,8/7/2019,22:20,HOM,C1F1
FB8563,8/7/2019,21:00,TGD,8/7/2019,23:05,XXJ,C1F1
FB8569,8/7/2019,21:35,TGD,8/7/2019,23:05,HOM,C1F1
FB690,8/7/2019,21:35,THJ,8/7/2019,23:00,TGD,C1F1
FB8567,8/8/2019,0:35,XXJ,8/8/2019,2:25,SXA,C1F1
FB292,8/8/2019,7:05,OOJ,8/8/2019,8:20,TGD,C1F1
FB394,8/8/2019,7:10,UYS,8/8/2019,8:15,TGD,C1F1
FB382,8/8/2019,7:20,YKJ,8/8/2019,8:40,TGD,C1F1
FB402,8/8/2019,7:30,AXO,8/8/2019,8:35,TGD,C1F1
FB672,8/8/2019,7:35,THJ,8/8/2019,9:00,TGD,C1F1
FB522,8/8/2019,7:35,XMJ,8/8/2019,8:40,HOM,C1F1
FB532,8/8/2019,7:35,OAX,8/8/2019,8:55,TGD,C1F1
FB732,8/8/2019,7:50,UDJ,8/8/2019,9:10,HOM,C1F1
FB460,8/8/2019,8:00,SXA,8/8/2019,10:25,TGD,C1F1
FB1702,8/8/2019,8:00,FBX,8/8/2019,9:05,HOM,C1F1
FB662,8/8/2019,8:15,GKU,8/8/2019,10:05,TGD,C1F1
FB1145,8/8/2019,9:00,HOM,8/8/2019,10:55,XBT,C1F1
FB1892,8/8/2019,9:00,TAN,8/8/2019,9:55,TGD,C1F1
FB434,8/8/2019,9:10,FBX,8/8/2019,10:25,GKS,C1F1
FB20,8/8/2019,10:00,HOM,8/8/2019,11:15,TGD,C1F1
FB1605,8/8/2019,10:25,HOM,8/8/2019,11:10,XNZ,C1F1
FB765,8/8/2019,11:00,HOM,8/8/2019,13:05,SXA,C1F1
FB1606,8/8/2019,11:45,XNZ,8/8/2019,12:30,HOM,C1F1
FB252,8/8/2019,12:20,FBX,8/8/2019,14:10,TGD,C1F1
FB1169,8/8/2019,13:10,HOM,8/8/2019,15:15,SXA,C1F1
FB30,8/8/2019,15:00,HOM,8/8/2019,16:15,TGD,C1F1
